rowname	sum.taxonomy
asv.247	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.248	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Amblygobius;Amblygobius_phalaena
asv.250	Eukaryota;Chordata;Actinopteri;;;;
asv.252	Eukaryota;Chordata;Actinopteri;Spariformes;Nemipteridae;Pentapodus;Pentapodus_setosus
asv.254	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Hemigymnus;Hemigymnus_melapterus
asv.257	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;;
asv.258	Eukaryota;Chordata;Actinopteri;;;;
asv.259	Eukaryota;Chordata;Actinopteri;Beloniformes;Hemiramphidae;Hyporhamphus;Hyporhamphus_quoyi
asv.260	Eukaryota;Chordata;Actinopteri;nan;Pomacentridae;Abudefduf;Abudefduf_bengalensis
asv.265	Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;Gymnothorax_vicinus
asv.267	Eukaryota;Chordata;Actinopteri;Mugiliformes;Mugilidae;Chelon;
asv.268	Eukaryota;Chordata;Actinopteri;Gadiformes;Lotidae;Ciliata;Ciliata_mustela
asv.269	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Eviota;
asv.271	Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;
asv.272	Eukaryota;Chordata;Actinopteri;nan;Sphyraenidae;Sphyraena;
asv.273	Eukaryota;Chordata;Actinopteri;nan;Pomacanthidae;Chaetodontoplus;
asv.274	Eukaryota;Chordata;Actinopteri;Gerreiformes;Gerreidae;Gerres;
asv.275	Eukaryota;Chordata;Actinopteri;Perciformes;Tetrarogidae;Paracentropogon;Paracentropogon_longispinis
asv.276	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;;
asv.281	Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;Strongylura;Strongylura_anastomella
asv.282	Eukaryota;Chordata;Actinopteri;;;;
asv.286	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Haemulidae;Plectorhinchus;Plectorhinchus_flavomaculatus
asv.288	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.289	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;
asv.290	Eukaryota;Chordata;Actinopteri;nan;Sphyraenidae;Sphyraena;Sphyraena_obtusata
asv.292	Eukaryota;Chordata;Actinopteri;;;;
asv.294	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.295	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.298	Eukaryota;Chordata;Actinopteri;Salmoniformes;Salmonidae;Salmo;Salmo_salar
asv.303	Eukaryota;Chordata;Actinopteri;Blenniiformes;Tripterygiidae;Helcogramma;Helcogramma_striata
asv.304	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;;
asv.305	Eukaryota;Chordata;Actinopteri;Beloniformes;Belonidae;;
asv.306	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.307	Eukaryota;Chordata;Chondrichthyes;Rhinopristiformes;Rhynchobatidae;Rhynchobatus;
asv.308	Eukaryota;Chordata;Actinopteri;Perciformes;Platycephalidae;Inegocia;Inegocia_japonica
asv.309	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Pteragogus;
asv.310	Eukaryota;Chordata;Chondrichthyes;Carcharhiniformes;Carcharhinidae;Carcharhinus;
asv.312	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Monacanthidae;Chaetodermis;Chaetodermis_penicilligerus
asv.314	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Mobula;
asv.320	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.337	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Choerodon;Choerodon_schoenleinii
asv.338	Eukaryota;Chordata;Actinopteri;Scombriformes;Pomatomidae;Pomatomus;Pomatomus_saltatrix
asv.340	Eukaryota;Chordata;Chondrichthyes;Myliobatiformes;Myliobatidae;Aetobatus;Aetobatus_narinari
asv.342	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.345	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;;
asv.348	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Bothidae;Engyprosopon;
asv.349	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.351	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.352	Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Pomatoschistus;
asv.321	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Thalassoma;
asv.324	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;
asv.325	Eukaryota;Chordata;Actinopteri;nan;Sillaginidae;Sillago;Sillago_cf._sihama_JYP570
asv.326	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.327	Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Callionymus;Callionymus_enneactis
asv.328	Eukaryota;Chordata;Actinopteri;Pleuronectiformes;Pleuronectidae;;
asv.329	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;;
