kingdom	phylum	class	order	family	genus	species	lastvalue	otu_seq_comp_appr	otu_db	lsid	taxonRank	specificEpithet
asv.257	Eukaryota	Chordata	Actinopteri	Lutjaniformes	Haemulidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.258	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.276	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.282	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.292	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.304	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Callionymidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.305	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.345	Eukaryota	Chordata	Actinopteri	Anguilliformes	Congridae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.351	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.326	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.328	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.329	Eukaryota	Chordata	Actinopteri	Spariformes	Sparidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.335	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.353	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.359	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.388	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.396	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.370	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.374	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.378	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.380	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.417	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.420	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.424	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.430	Eukaryota	Chordata	Actinopteri	Siluriformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.401	Eukaryota	Chordata	Actinopteri	Syngnathiformes	Callionymidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.403	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.407	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.409	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.414	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.416	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.437	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.438	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.441	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.442	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.443	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.470	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Terapontidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.476	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.479	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.490	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.493	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.497	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.504	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.510	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.449	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.451	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.452	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.456	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.546	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.529	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.533	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.543	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.521	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.524	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.526	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.571	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.574	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.576	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes	Dasyatidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.597	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.582	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.589	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.630	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.659	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.643	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.675	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.677	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.686	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.714	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.717	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Terapontidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.735	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.740	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.746	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.751	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.774	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.778	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.753	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.804	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.814	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.826	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.827	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.839	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.849	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.906	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.892	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.917	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.927	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1017	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1052	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1033	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1040	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1068	Eukaryota	Chordata	Actinopteri	Spariformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1070	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1073	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1079	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1135	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1103	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1179	Eukaryota	Chordata	Actinopteri	Siluriformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1184	Eukaryota	Chordata	Chondrichthyes	Myliobatiformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1195	Eukaryota	Chordata	Actinopteri	Labriformes	Labridae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1260	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1266	Eukaryota	Chordata	Actinopteri	Kurtiformes	Apogonidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1221	Eukaryota	Chordata	Actinopteri	Blenniiformes	Tripterygiidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1224	Eukaryota	Chordata	Actinopteri	Beloniformes	Belonidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1344	Eukaryota	Chordata	Actinopteri	Siluriformes					bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1325	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1282	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1289	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1292	Eukaryota	Chordata	Actinopteri	Pleuronectiformes	Pleuronectidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9000	Eukaryota	Chordata	Actinopteri	Tetraodontiformes	Monacanthidae				bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10180	Eukaryota	Chordata	Actinopteri						bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10551									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6306									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9966									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4956									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6984									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2672									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10208									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3452									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3095									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4334									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7878									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10568									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2747									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9743									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8586									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9771									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9581									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8868									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10074									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8748									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6447									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7987									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2372									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2916									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8678									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10179									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9746									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9920									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3259									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3555									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9828									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9292									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3011									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8681									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2994									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2652									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2850									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9975									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3214									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10236									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10181									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4220									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10470									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4295									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3101									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3129									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8314									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.1985									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10434									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10133									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10187									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2614									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7842									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7905									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2375									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10068									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2816									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10186									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3974									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2172									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10218									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2914									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2737									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3363									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9426									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4092									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9451									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3186									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3706									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3070									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10255									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3016									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3840									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9795									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2382									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9830									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3834									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3810									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2666									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3441									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3487									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3160									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.7726									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5795									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9329									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9804									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8478									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10189									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3058									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6392									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9348									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5418									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4885									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3978									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.4566									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3461									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6391									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2867									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9353									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2306									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3712									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8472									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2247									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8063									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.2822									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10183									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10215									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9197									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3400									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.5010									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3127									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.9822									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.6892									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10481									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.3047									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.8498									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10199									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
asv.10003									bowtie2;2.4.4;ANACAPA-blca;2021	MitoFish			
