asv.6	Bacteria;Proteobacteria;Gammaproteobacteria;
asv.1333	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.1545	Eukaryota;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_commoda;
asv.1553	Eukaryota;Annelida;Polychaeta;Eunicida;Amphinomidae;Eurythoe;Eurythoe_sp._1_PCP-2009;
asv.1580	Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus_polymorphus;
asv.1669	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1673	Eukaryota;Porifera;Demospongiae;
asv.1713	Eukaryota;unknown;Dinophyceae;Syndiniales;Syndiniaceae;Hematodinium;Hematodinium_sp.;
asv.1723	Bacteria;
asv.1728	Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus_polymorphus;
asv.1792	Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Peyssonneliaceae;Ramicrusta;Ramicrusta_fujiiana;
asv.1797	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.1876	Eukaryota;Chordata;Actinopteri;Labriformes;Labridae;Halichoeres;Halichoeres_radiatus;
asv.1884	Bacteria;
asv.1903	Bacteria;
asv.1966	Eukaryota;Arthropoda;Hexanauplia;Cyclopoida;Oithonidae;Oithona;Oithona_plumifera;
asv.1983	Bacteria;
asv.1998	Bacteria;
asv.2000	Eukaryota;Chordata;Actinopteri;Blenniiformes;Blenniidae;Entomacrodus;Entomacrodus_vomerinus;
asv.2030	Bacteria;
asv.2037	Bacteria;
asv.2071	Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae;Sus;Sus_scrofa;
asv.2128	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2211	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2212	Bacteria;
asv.2292	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2346	Bacteria;
asv.2388	Bacteria;
asv.2390	Bacteria;
asv.2397	Bacteria;
asv.2449	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2509	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens;
asv.2516	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2522	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2529	Bacteria;
asv.2540	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2543	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2549	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2562	Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;
asv.2575	Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo_sapiens;
asv.2592	Bacteria;
asv.2609	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2614	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;Vibrio_fortis;
asv.2636	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
asv.2639	Eukaryota;Bacillariophyta;Mediophyceae;Cymatosirales;Cymatosiraceae;Minutocellus;Minutocellus_polymorphus;
asv.2646	Eukaryota;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcaceae;Prasinococcus;
asv.2649	Bacteria;
asv.2650	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2660	Bacteria;
asv.2669	Bacteria;
asv.2671	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2675	Eukaryota;unknown;unknown;unknown;unknown;unknown;
asv.2683	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2701	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2710	Bacteria;
asv.2713	Bacteria;
asv.2742	Bacteria;Proteobacteria;Alphaproteobacteria;unknown;unknown;unknown;uncultured_Alphaproteobacteria_bacterium;
asv.2752	Eukaryota;unknown;Cryptophyceae;
asv.2762	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.2776	Bacteria;
asv.2783	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2792	Bacteria;unknown;unknown;unknown;unknown;unknown;
asv.2813	Eukaryota;unknown;unknown;unknown;unknown;unknown;uncultured_marine_eukaryote;
asv.2839	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2865	Bacteria;Proteobacteria;Alphaproteobacteria;
asv.2872	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2876	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2897	Bacteria;
asv.2928	Bacteria;
asv.2932	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2963	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2964	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2968	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2969	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2970	Bacteria;
asv.2978	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2981	Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
asv.2982	Bacteria;
asv.2983	Bacteria;
asv.2984	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.2997	Bacteria;
asv.3005	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3024	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3030	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3036	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3045	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3056	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3064	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3091	Bacteria;Firmicutes;unknown;unknown;unknown;unknown;uncultured_Firmicutes_bacterium;
asv.3106	Unknown
asv.3111	Bacteria;Verrucomicrobia;unknown;unknown;unknown;unknown;uncultured_Verrucomicrobia_bacterium;
asv.3112	Bacteria;
asv.3113	Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Bacterioplanes;Bacterioplanes_sanyensis;
asv.3120	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3134	Bacteria;
asv.3145	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3147	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3160	Eukaryota;unknown;unknown;unknown;unknown;unknown;uncultured_phototrophic_eukaryote;
asv.3194	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3209	Bacteria;Proteobacteria;Gammaproteobacteria;unknown;unknown;unknown;uncultured_Gammaproteobacteria_bacterium;
asv.3226	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3235	Bacteria;
asv.3257	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
asv.3262	Bacteria;unknown;unknown;unknown;unknown;unknown;uncultured_bacterium;
