asv	sum.taxonomy	identificationRemarks
27	asv.27	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.93;0.91;0.91;0.78;0.78. No VSEARCH hits at 0.97 identity.
28	asv.28	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.88;0.8;0.8;0.65;0.65. No VSEARCH hits at 0.97 identity.
29	asv.29	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Lutjaniformes;f__Lutjanidae;g__Lutjanus;s__Lutjanus_campechanus, confidences 1;1;1;0.98;0.75;0.75;0.75;0.19. No VSEARCH hits at 0.97 identity.
30	asv.30	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.97;0.8;0.72;0.71;0.57;0.57. No VSEARCH hits at 0.97 identity.
31	asv.31	sk__Eukaryota;k__Metazoa	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Albuliformes;f__Albulidae;g__Albula;s__Albula_glossodonta, confidences 1;0.93;0.78;0.44;0.23;0.23;0.23;0.23. No VSEARCH hits at 0.97 identity.
32	asv.32	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.87;0.86;0.79;0.72;0.72. No VSEARCH hits at 0.97 identity.
33	asv.33	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;0.99;0.84;0.76;0.76;0.64;0.64. No VSEARCH hits at 0.97 identity.
34	asv.34	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.81;0.73;0.69;0.57;0.57. No VSEARCH hits at 0.97 identity.
35	asv.35	sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Poeciliidae;g__Xiphophorus;s__Xiphophorus_maculatus, confidences 1;1;1;0.87;0.13;0.11;0.11;0.1. No VSEARCH hits at 0.97 identity.
36	asv.36	sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia	Identification based on the RDP classifier at the confidence level 0.8: taxonomy sk__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo_sapiens, confidences 1;1;1;0.87;0.76;0.76;0.65;0.65. No VSEARCH hits at 0.97 identity.
